Pregunta;Respuesta
Para un envío internacional, ¿cuál es la diferencia entre una ciudad principal y una ciudad secundaria?;"Las ciudades principales poseen un proceso operativo de reparto diario, que permite hacer entregas en menor tiempo. En las ciudades secundarias, por estar alejadas de los centros de distribución, los procesos de despacho son más largos.
"
¿Cuáles son los medios de pago de los servicios online?;"Cuando utilizas un servicio online en www.chilexpress.cl, puedes pagar con tarjetas de crédito, débito o transferencia electrónica.
"
¿Es necesario ser cliente con cuenta Chilexpress para acceder a los servicios online?;"No es necesario ser un cliente con cuenta Chilexpress. Sólo debes registrarte en nuestra App o en www.chilexpress.cl para utilizar los distintos servicios.
"
Si soy menor de edad, ¿puedo retirar un giro de dinero?;"Sí, puedes hacerlo si cumples con la siguiente condición: los hombres desde los 14 años y las mujeres desde los 12 años, ambos hasta los 18 años, pueden cobrar y enviar giros con un poder notarial, sin la necesidad de estar acompañados de un adulto. En dicho poder, los padres, tutores o curadores legales, deben dejar constancia que autorizan el cobro o envío del giro.
"
¿En cuánto tiempo está disponible un giro para retiro?;"El dinero podrá ser retirado por su destinatario en un plazo máximo de 24 horas. Con el servicio Dinero en Minutos, un giro puede cobrarse en 15 minutos.
"
¿Puedo cobrar un giro en cualquier sucursal de Chilexpress?;"No, sólo en las sucursales Chilexpress con sistema Western Union. Si eres el destinatario, deberás presentar tu documento de identificación junto al número de MTCN. Puedes revisar las sucursales que tienen el servicio giros disponible en www.chilexpress.cl
"
Si me envían un giro en dólares ¿en qué moneda lo retiro?;"Los giros en dólares pueden retirarse en moneda del país de destino o en dólares. Si eres el destinatario del giro, debes preguntar en la sucursal de Chilexpress donde estás retirando tu giro si está habilitado el pago en dólares.
"
Si perdí mi contraseña con la que me registré en el sitio para realizar envíos, ¿puedo recuperarla por teléfono?;"Puedes recuperar tu contraseña en nuestro sitio web www.chilexpress.cl. Te enviaremos un correo electrónico con la información a la dirección con la que te registraste.
"
¿Qué es el MTCN?;"El MTCN es el número de control de envío de dinero, y es único para cada giro. El destinatario necesita conocer el MTCN para retirar el dinero en la sucursal que requiera, mientras que al remitente, le permite hacer seguimiento del envío de dinero.
"
Si hice un Giro online y no he recibido el MTCN, ¿puedo solicitarlo por teléfono?;"Si no recibiste tu MTCN vía SMS o por correo electrónico ahora puedes conocer el estado, historial y número de MTCN de todos tus envíos de dinero en la sección Mis Giros en www.chilexpress.cl
"
Hice un giro online pero ingresé mal el nombre del destinatario ¿cómo puedo corregirlo?;"Para corregir el nombre del destinatario de un giro online ,debes ingresar a https://te-ayudamos.chilexpress.cl/. Luego seleccionar ""ingresa un reclamo"", posteriormente seleccionar ""envíos de dinero"" y luego ""quiero modificar los datos de mi envío de dinero"".
"
¿Puedo ir a retirar una encomienda a cualquier oficina de Chilexpress?;"No. Debes retirar tu encomienda o documento en la sucursal donde se encuentra disponible para retiro. Ésta es aquella que fue seleccionada cuando se contrató el servicio.
"
¿Puedo ir a retirar un documento a cualquier oficina de Chilexpress?;"No. Debes retirar tu encomienda o documento en la sucursal donde se encuentra disponible para retiro. Ésta es aquella que fue seleccionada cuando se contrató el servicio.
"
¿Qué debe hacer el destinatario para retirar su envío por pagar?;"Una vez que el envío haya sido notificado, el destinatario tendrá un plazo de 5 días hábiles para acudir a la sucursal de destino establecida por el remitente . Allí el destinatario deberá presentar su Cédula de Identidad y pagar el costo del envío.
"
¿Puede una tercera persona retirar un envío por pagar que no está a su nombre?;"Una tercera persona puede retirar un envío por pagar siempre y cuando cuente con un Poder Simple otorgado por el destinatario. Adicionalmente, debe presentar su Cédula de identidad y una fotocopia de la Cédula de Identidad del destinatario inicial y pagar el costo del envío.
"
¿Qué sucursales no están habilitadas para recibir un envío por pagar?;"Puedes revisar las sucursales habilitadas para realizar envíos por pagar en www.chilexpress.cl
"
¿Puedo solicitar materiales telefónicamente?;"Las empresas que poseen una cuenta con Chilexpress pueden solicitar embalajes y materiales a través de nuestro Portal Empresas en la sección Empresas de www.chilexpress.cl
"
¿Cómo programo los retiros habituales?;"Las empresas que poseen una cuenta con Chilexpress pueden solicitar retiros habituales a través su ejecutivo de cuentas asignado.
"
Cuando solicito un retiro a través del Portal Empresas, ¿cómo genero la Orden de Transporte?;"Una vez solicitado el retiro en el Portal Empresas, debes ir dentro del mismo sitio a la sección OT Digital. Para conocer cómo utilizarlo bajo el manual disponible en la sección correspondiente.
"
Al generar un envío masivo, ¿cómo obtengo la Orden de Transporte?;"Al generar un envío masivo, en el paso número 3 el sistema te entregará un certificado o manifiesto con el número de la orden de transporte que se denomina OT Padre (orden de transporte padre) y que contiene la información de cada uno de los envíos.
"
¿Cómo puedo abrir una cuenta empresa con Chilexpress?;"Para abrir una cuenta empresa debes registrarte completando el formulario en la sección Quiero Ser Cliente de nuestro Portal Empresas. La cuenta no tiene costo, sólo debes tener un movimiento mínimo de 1 UF mensual, en caso contrario se facturará esa cantidad.
"
¿Cuánto tiempo tarda en ser habilitada mi cuenta empresa Chilexpress?;"La cuenta Chilexpress se habilita, aproximadamente, después de 4 días hábiles.
"
¿Cuál es el costo mínimo mensual de la cuenta empresa Chilexpress?;"La cuenta empresa Chilexpress no tiene costo, sólo debes tener un movimiento mínimo de 1 UF mensual. En caso contrario, se facturará dicha cantidad.
"
¿Cuántas veces al mes se facturan los envíos realizados a través de la cuenta empresa Chilexpress?;"Los envíos se facturan una vez al mes el primer día hábil del mes siguiente. La factura y el detalle estará cargado a través del Portal Empresa a partir del tercer día hábil del mes.
"
¿Sólo las empresas pueden tener una cuenta con Chilexpress?;"Sí, sólo las empresas pueden obtener una cuenta con Chilexpress. Para ser cliente ingresa a la sección Quiero ser Cliente del Portal Empresas en www.chilexpress.cl
"
¿Cómo obtengo mi usuario y contraseña de cliente empresa Chilexpress?;"Para obtener el usuario debes registrarte con el RUT de la empresa, así el administrador habilita tu usuario. Cuando eso ocurra, te enviaremos un correo electrónico con tu contraseña. Si olvidas tu contraseña, puedes solicitar una nueva en el Portal Empresas en www.chilexpress.cl
"
